id	GENE_ID	GO_PRO
TCO1	TCN1	extracellular region [GO:0005576]; extracellular space [GO:0005615]; specific granule lumen [GO:0035580]; tertiary granule lumen [GO:1904724]; cobalamin binding [GO:0031419]; cobalamin transport [GO:0015889]; cobalt ion transport [GO:0006824]
TFF1	TFF1	extracellular region [GO:0005576]; extracellular space [GO:0005615]; growth factor activity [GO:0008083]; carbohydrate metabolic process [GO:0005975]; cell differentiation [GO:0030154]; maintenance of gastrointestinal epithelium [GO:0030277]; negative regulation of cell population proliferation [GO:0008285]; response to immobilization stress [GO:0035902]; response to iron ion [GO:0010039]; response to peptide hormone [GO:0043434]
NPY	NPY	extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; neuronal dense core vesicle [GO:0098992]; perikaryon [GO:0043204]; perinuclear region of cytoplasm [GO:0048471]; terminal bouton [GO:0043195]; calcium channel regulator activity [GO:0005246]; G protein-coupled receptor activity [GO:0004930]; G protein-coupled receptor binding [GO:0001664]; hormone activity [GO:0005179]; neuropeptide hormone activity [GO:0005184]; neuropeptide Y receptor binding [GO:0031841]; signaling receptor binding [GO:0005102]; adult feeding behavior [GO:0008343]; aging [GO:0007568]; antibacterial humoral response [GO:0019731]; antifungal humoral response [GO:0019732]; antimicrobial humoral immune response mediated by antimicrobial peptide [GO:0061844]; central nervous system neuron development [GO:0021954]; cerebral cortex development [GO:0021987]; chemical synaptic transmission [GO:0007268]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; feeding behavior [GO:0007631]; G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger [GO:0007187]; innate immune response [GO:0045087]; intestinal epithelial cell differentiation [GO:0060575]; monocyte activation [GO:0042117]; negative regulation of acute inflammatory response to antigenic stimulus [GO:0002865]; negative regulation of blood pressure [GO:0045776]; negative regulation of neuron death [GO:1901215]; neuron projection development [GO:0031175]; neuropeptide signaling pathway [GO:0007218]; positive regulation of appetite [GO:0032100]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cell-substrate adhesion [GO:0010811]; positive regulation of dopamine metabolic process [GO:0045964]; positive regulation of eating behavior [GO:1904000]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of nitric oxide metabolic process [GO:1904407]; regulation of nerve growth factor production [GO:0032903]; response to yeast [GO:0001878]; sensory perception of taste [GO:0050909]; short-day photoperiodism [GO:0048572]
TSG6	TNFAIP6	extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule lumen [GO:1904813]; tertiary granule lumen [GO:1904724]; calcium ion binding [GO:0005509]; carboxylic ester hydrolase activity [GO:0052689]; fibronectin binding [GO:0001968]; hyaluronic acid binding [GO:0005540]; cell adhesion [GO:0007155]; cell-cell signaling [GO:0007267]; fibronectin fibril organization [GO:1905590]; hyaluronan metabolic process [GO:0030212]; inflammatory response [GO:0006954]; negative regulation of BMP signaling pathway [GO:0030514]; negative regulation of inflammatory response [GO:0050728]; negative regulation of neutrophil chemotaxis [GO:0090024]; negative regulation of osteoblast differentiation [GO:0045668]; negative regulation of osteoclast differentiation [GO:0045671]; ovarian cumulus expansion [GO:0001550]; ovulation [GO:0030728]; positive regulation of cell migration [GO:0030335]; positive regulation of receptor clustering [GO:1903911]; signal transduction [GO:0007165]
IFNG	IFNG	extracellular region [GO:0005576]; extracellular space [GO:0005615]; cytokine activity [GO:0005125]; interferon-gamma receptor binding [GO:0005133]; adaptive immune response [GO:0002250]; apoptotic process [GO:0006915]; astrocyte activation [GO:0048143]; cell surface receptor signaling pathway [GO:0007166]; defense response to virus [GO:0051607]; extrinsic apoptotic signaling pathway [GO:0097191]; humoral immune response [GO:0006959]; interferon-gamma-mediated signaling pathway [GO:0060333]; macrophage activation involved in immune response [GO:0002281]; macrophage differentiation [GO:0030225]; microglial cell activation [GO:0001774]; negative regulation of amyloid-beta clearance [GO:1900222]; negative regulation of epithelial cell differentiation [GO:0030857]; negative regulation of gene expression [GO:0010629]; negative regulation of interleukin-17 production [GO:0032700]; negative regulation of smooth muscle cell proliferation [GO:0048662]; negative regulation of tau-protein kinase activity [GO:1902948]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription, DNA-templated [GO:0045892]; neuroinflammatory response [GO:0150076]; positive regulation of amyloid-beta formation [GO:1902004]; positive regulation of autophagy [GO:0010508]; positive regulation of calcidiol 1-monooxygenase activity [GO:0060559]; positive regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation involved in immune response [GO:0032834]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cellular respiration [GO:1901857]; positive regulation of chemokine production [GO:0032722]; positive regulation of core promoter binding [GO:1904798]; positive regulation of cytokine production [GO:0001819]; positive regulation of epithelial cell migration [GO:0010634]; positive regulation of exosomal secretion [GO:1903543]; positive regulation of fructose 1,6-bisphosphate 1-phosphatase activity [GO:0060550]; positive regulation of fructose 1,6-bisphosphate metabolic process [GO:0060552]; positive regulation of gene expression [GO:0010628]; positive regulation of glycolytic process [GO:0045821]; positive regulation of inflammatory response [GO:0050729]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of interleukin-12 production [GO:0032735]; positive regulation of interleukin-23 production [GO:0032747]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of iron ion import across plasma membrane [GO:1904440]; positive regulation of killing of cells of other organism [GO:0051712]; positive regulation of membrane protein ectodomain proteolysis [GO:0051044]; positive regulation of MHC class II biosynthetic process [GO:0045348]; positive regulation of neurogenesis [GO:0050769]; positive regulation of neuron death [GO:1901216]; positive regulation of nitric oxide biosynthetic process [GO:0045429]; positive regulation of nitric-oxide synthase biosynthetic process [GO:0051770]; positive regulation of nitrogen compound metabolic process [GO:0051173]; positive regulation of NMDA glutamate receptor activity [GO:1904783]; positive regulation of osteoclast differentiation [GO:0045672]; positive regulation of peptidyl-serine phosphorylation of STAT protein [GO:0033141]; positive regulation of phagocytosis [GO:0050766]; positive regulation of protein deacetylation [GO:0090312]; positive regulation of protein import into nucleus [GO:0042307]; positive regulation of protein localization to plasma membrane [GO:1903078]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of protein serine/threonine kinase activity [GO:0071902]; positive regulation of protein-containing complex assembly [GO:0031334]; positive regulation of signaling receptor activity [GO:2000273]; positive regulation of smooth muscle cell apoptotic process [GO:0034393]; positive regulation of tumor necrosis factor (ligand) superfamily member 11 production [GO:2000309]; positive regulation of tumor necrosis factor production [GO:0032760]; positive regulation of tyrosine phosphorylation of STAT protein [GO:0042531]; positive regulation of vitamin D biosynthetic process [GO:0060557]; receptor signaling pathway via JAK-STAT [GO:0007259]; regulation of growth [GO:0040008]; regulation of insulin secretion [GO:0050796]; regulation of protein ADP-ribosylation [GO:0010835]; response to virus [GO:0009615]
CCL2	CCL2	extracellular region [GO:0005576]; extracellular space [GO:0005615]; CCR chemokine receptor binding [GO:0048020]; CCR2 chemokine receptor binding [GO:0031727]; chemokine activity [GO:0008009]; protein kinase activity [GO:0004672]; signaling receptor binding [GO:0005102]; angiogenesis [GO:0001525]; animal organ morphogenesis [GO:0009887]; astrocyte cell migration [GO:0043615]; cell adhesion [GO:0007155]; cell surface receptor signaling pathway [GO:0007166]; cellular homeostasis [GO:0019725]; cellular response to fibroblast growth factor stimulus [GO:0044344]; cellular response to interferon-gamma [GO:0071346]; cellular response to interleukin-1 [GO:0071347]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to organic cyclic compound [GO:0071407]; cellular response to tumor necrosis factor [GO:0071356]; chemokine-mediated signaling pathway [GO:0070098]; chemotaxis [GO:0006935]; cytokine-mediated signaling pathway [GO:0019221]; cytoskeleton organization [GO:0007010]; eosinophil chemotaxis [GO:0048245]; G protein-coupled receptor signaling pathway [GO:0007186]; G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger [GO:0007187]; helper T cell extravasation [GO:0035684]; humoral immune response [GO:0006959]; inflammatory response [GO:0006954]; lipopolysaccharide-mediated signaling pathway [GO:0031663]; lymphocyte chemotaxis [GO:0048247]; macrophage chemotaxis [GO:0048246]; MAPK cascade [GO:0000165]; monocyte chemotaxis [GO:0002548]; negative regulation of G1/S transition of mitotic cell cycle [GO:2000134]; negative regulation of glial cell apoptotic process [GO:0034351]; negative regulation of natural killer cell chemotaxis [GO:2000502]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of vascular endothelial cell proliferation [GO:1905563]; neutrophil chemotaxis [GO:0030593]; positive regulation of apoptotic cell clearance [GO:2000427]; positive regulation of calcium ion import [GO:0090280]; positive regulation of endothelial cell apoptotic process [GO:2000353]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of GTPase activity [GO:0043547]; positive regulation of nitric-oxide synthase biosynthetic process [GO:0051770]; positive regulation of NMDA glutamate receptor activity [GO:1904783]; positive regulation of synaptic transmission, glutamatergic [GO:0051968]; positive regulation of T cell activation [GO:0050870]; protein kinase B signaling [GO:0043491]; protein phosphorylation [GO:0006468]; receptor signaling pathway via JAK-STAT [GO:0007259]; regulation of cell shape [GO:0008360]; response to bacterium [GO:0009617]; sensory perception of pain [GO:0019233]; signal transduction [GO:0007165]; viral genome replication [GO:0019079]
IL2	IL2	extracellular region [GO:0005576]; extracellular space [GO:0005615]; carbohydrate binding [GO:0030246]; cytokine activity [GO:0005125]; glycosphingolipid binding [GO:0043208]; growth factor activity [GO:0008083]; interleukin-2 receptor binding [GO:0005134]; kappa-type opioid receptor binding [GO:0031851]; kinase activator activity [GO:0019209]; adaptive immune response [GO:0002250]; cell adhesion [GO:0007155]; cell-cell signaling [GO:0007267]; extrinsic apoptotic signaling pathway in absence of ligand [GO:0097192]; gene expression [GO:0010467]; immune response [GO:0006955]; leukocyte activation involved in immune response [GO:0002366]; natural killer cell activation [GO:0030101]; negative regulation of apoptotic process [GO:0043066]; negative regulation of B cell apoptotic process [GO:0002903]; negative regulation of heart contraction [GO:0045822]; negative regulation of inflammatory response [GO:0050728]; negative regulation of lymphocyte proliferation [GO:0050672]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of T-helper 17 cell differentiation [GO:2000320]; positive regulation of activated T cell proliferation [GO:0042104]; positive regulation of B cell proliferation [GO:0030890]; positive regulation of cell growth [GO:0030307]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of dendritic spine development [GO:0060999]; positive regulation of immunoglobulin production [GO:0002639]; positive regulation of inflammatory response [GO:0050729]; positive regulation of interferon-gamma production [GO:0032729]; positive regulation of interleukin-17 production [GO:0032740]; positive regulation of isotype switching to IgG isotypes [GO:0048304]; positive regulation of plasma cell differentiation [GO:1900100]; positive regulation of regulatory T cell differentiation [GO:0045591]; positive regulation of tissue remodeling [GO:0034105]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of tyrosine phosphorylation of STAT protein [GO:0042531]; protein kinase C-activating G protein-coupled receptor signaling pathway [GO:0007205]; regulation of T cell homeostatic proliferation [GO:0046013]; response to ethanol [GO:0045471]; T cell differentiation [GO:0030217]
LIPP	PNLIP	extracellular region [GO:0005576]; extracellular space [GO:0005615]; all-trans-retinyl-palmitate hydrolase, all-trans-retinol forming activity [GO:0047376]; lipase activity [GO:0016298]; metal ion binding [GO:0046872]; triglyceride lipase activity [GO:0004806]; intestinal cholesterol absorption [GO:0030299]; lipid catabolic process [GO:0016042]; lipid metabolic process [GO:0006629]; positive regulation of triglyceride lipase activity [GO:0061365]
ALDH2	ALDH2	extracellular exosome [GO:0070062]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; aldehyde dehydrogenase (NAD+) activity [GO:0004029]; aldehyde dehydrogenase [NAD(P)+] activity [GO:0004030]; carboxylic ester hydrolase activity [GO:0052689]; electron transfer activity [GO:0009055]; glyceraldehyde-3-phosphate dehydrogenase (NAD+) (non-phosphorylating) activity [GO:0043878]; NAD binding [GO:0051287]; nitroglycerin reductase activity [GO:0018547]; phenylacetaldehyde dehydrogenase activity [GO:0008957]; alcohol metabolic process [GO:0006066]; aldehyde catabolic process [GO:0046185]; carbohydrate metabolic process [GO:0005975]; ethanol catabolic process [GO:0006068]; regulation of dopamine biosynthetic process [GO:1903179]; regulation of serotonin biosynthetic process [GO:1905627]
THIL	ACAT1	extracellular exosome [GO:0070062]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; acetyl-CoA C-acetyltransferase activity [GO:0003985]; C-acetyltransferase activity [GO:0016453]; coenzyme A binding [GO:0120225]; enzyme binding [GO:0019899]; identical protein binding [GO:0042802]; potassium ion binding [GO:0030955]; acetyl-CoA biosynthetic process [GO:0006085]; acetyl-CoA catabolic process [GO:0046356]; adipose tissue development [GO:0060612]; brain development [GO:0007420]; cholesterol esterification [GO:0034435]; coenzyme A biosynthetic process [GO:0015937]; coenzyme A metabolic process [GO:0015936]; fatty acid beta-oxidation [GO:0006635]; isoleucine catabolic process [GO:0006550]; ketone body catabolic process [GO:0046952]; ketone body metabolic process [GO:1902224]; liver development [GO:0001889]; metanephric proximal convoluted tubule development [GO:0072229]; propionyl-CoA biosynthetic process [GO:1902860]; response to hormone [GO:0009725]; response to organic cyclic compound [GO:0014070]; response to starvation [GO:0042594]
CA2D1	CACNA2D1	extracellular exosome [GO:0070062]; L-type voltage-gated calcium channel complex [GO:1990454]; sarcoplasmic reticulum [GO:0016529]; voltage-gated calcium channel complex [GO:0005891]; metal ion binding [GO:0046872]; voltage-gated calcium channel activity [GO:0005245]; calcium ion import across plasma membrane [GO:0098703]; calcium ion transmembrane transport via high voltage-gated calcium channel [GO:0061577]; calcium ion transport [GO:0006816]; calcium ion transport into cytosol [GO:0060402]; cardiac muscle cell action potential involved in contraction [GO:0086002]; cellular response to amyloid-beta [GO:1904646]; membrane depolarization during bundle of His cell action potential [GO:0086048]; positive regulation of high voltage-gated calcium channel activity [GO:1901843]; regulation of calcium ion transmembrane transport via high voltage-gated calcium channel [GO:1902514]; regulation of calcium ion transport [GO:0051924]; regulation of heart rate by cardiac conduction [GO:0086091]; regulation of membrane repolarization during action potential [GO:0098903]; regulation of ventricular cardiac muscle cell membrane repolarization [GO:0060307]
DDR1	DDR1	extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; ATP binding [GO:0005524]; collagen binding [GO:0005518]; metal ion binding [GO:0046872]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein tyrosine kinase collagen receptor activity [GO:0038062]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; axon development [GO:0061564]; branching involved in mammary gland duct morphogenesis [GO:0060444]; cell adhesion [GO:0007155]; collagen-activated tyrosine kinase receptor signaling pathway [GO:0038063]; ear development [GO:0043583]; embryo implantation [GO:0007566]; lactation [GO:0007595]; mammary gland alveolus development [GO:0060749]; negative regulation of cell population proliferation [GO:0008285]; neuron projection extension [GO:1990138]; peptidyl-tyrosine autophosphorylation [GO:0038083]; positive regulation of kinase activity [GO:0033674]; protein autophosphorylation [GO:0046777]; regulation of cell growth [GO:0001558]; regulation of cell-matrix adhesion [GO:0001952]; regulation of extracellular matrix disassembly [GO:0010715]; smooth muscle cell migration [GO:0014909]; smooth muscle cell-matrix adhesion [GO:0061302]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]; wound healing, spreading of cells [GO:0044319]
CBG	SERPINA6	extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; serine-type endopeptidase inhibitor activity [GO:0004867]; steroid binding [GO:0005496]; glucocorticoid metabolic process [GO:0008211]; negative regulation of endopeptidase activity [GO:0010951]
PERE	EPX	extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; secretory granule lumen [GO:0034774]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; peroxidase activity [GO:0004601]; defense response to bacterium [GO:0042742]; defense response to nematode [GO:0002215]; eosinophil migration [GO:0072677]; hydrogen peroxide catabolic process [GO:0042744]; negative regulation of interleukin-10 production [GO:0032693]; negative regulation of interleukin-5 production [GO:0032714]; positive regulation of interleukin-4 production [GO:0032753]; response to oxidative stress [GO:0006979]
KLK3	KLK3	extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; secretory granule [GO:0030141]; endopeptidase activity [GO:0004175]; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides [GO:0016811]; serine-type endopeptidase activity [GO:0004252]; serine-type peptidase activity [GO:0008236]; cellular protein metabolic process [GO:0044267]; negative regulation of angiogenesis [GO:0016525]; positive regulation of antibacterial peptide production [GO:0002803]; proteolysis [GO:0006508]; regulation of systemic arterial blood pressure [GO:0003073]; zymogen activation [GO:0031638]
AMYP	AMY2A	extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; alpha-amylase activity [GO:0004556]; alpha-amylase activity (releasing maltohexaose) [GO:0103025]; calcium ion binding [GO:0005509]; chloride ion binding [GO:0031404]; carbohydrate catabolic process [GO:0016052]; carbohydrate metabolic process [GO:0005975]; polysaccharide digestion [GO:0044245]
SHBG	SHBG	extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; androgen binding [GO:0005497]; steroid binding [GO:0005496]
KCNJ3	KCNJ3	external side of plasma membrane [GO:0009897]; integral component of presynaptic membrane [GO:0099056]; parallel fiber to Purkinje cell synapse [GO:0098688]; plasma membrane [GO:0005886]; T-tubule [GO:0030315]; voltage-gated potassium channel complex [GO:0008076]; G-protein activated inward rectifier potassium channel activity [GO:0015467]; voltage-gated potassium channel activity involved in atrial cardiac muscle cell action potential repolarization [GO:0086089]; voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization [GO:1902282]; membrane repolarization during atrial cardiac muscle cell action potential [GO:0098914]; potassium ion import across plasma membrane [GO:1990573]; potassium ion transport [GO:0006813]; regulation of heart rate by cardiac conduction [GO:0086091]; regulation of ion transmembrane transport [GO:0034765]; response to electrical stimulus [GO:0051602]; ventricular cardiac muscle cell membrane repolarization [GO:0099625]
CXCR1	CXCR1	external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; secretory granule membrane [GO:0030667]; C-C chemokine binding [GO:0019957]; C-C chemokine receptor activity [GO:0016493]; chemokine receptor activity [GO:0004950]; G protein-coupled receptor activity [GO:0004930]; interleukin-8 binding [GO:0019959]; interleukin-8 receptor activity [GO:0004918]; calcium-mediated signaling [GO:0019722]; cell chemotaxis [GO:0060326]; cell surface receptor signaling pathway [GO:0007166]; dendritic cell chemotaxis [GO:0002407]; G protein-coupled receptor signaling pathway [GO:0007186]; immune response [GO:0006955]; neutrophil chemotaxis [GO:0030593]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; receptor internalization [GO:0031623]
DPOE1	POLE	epsilon DNA polymerase complex [GO:0008622]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; 4 iron, 4 sulfur cluster binding [GO:0051539]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; nucleotide binding [GO:0000166]; single-stranded DNA 3'-5' exodeoxyribonuclease activity [GO:0008310]; zinc ion binding [GO:0008270]; base-excision repair, gap-filling [GO:0006287]; DNA replication [GO:0006260]; DNA replication proofreading [GO:0045004]; DNA synthesis involved in DNA repair [GO:0000731]; DNA-dependent DNA replication [GO:0006261]; embryonic organ development [GO:0048568]; G1/S transition of mitotic cell cycle [GO:0000082]; leading strand elongation [GO:0006272]; mitotic cell cycle [GO:0000278]; nucleotide-excision repair, DNA gap filling [GO:0006297]
LY96	LY96	endosome membrane [GO:0010008]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; intrinsic component of plasma membrane [GO:0031226]; lipopolysaccharide receptor complex [GO:0046696]; plasma membrane [GO:0005886]; coreceptor activity [GO:0015026]; lipopolysaccharide binding [GO:0001530]; lipopolysaccharide immune receptor activity [GO:0001875]; Toll-like receptor 4 binding [GO:0035662]; cell surface receptor signaling pathway [GO:0007166]; cellular defense response [GO:0006968]; cellular response to lipopolysaccharide [GO:0071222]; detection of lipopolysaccharide [GO:0032497]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; positive regulation of lipopolysaccharide-mediated signaling pathway [GO:0031666]; positive regulation of tumor necrosis factor production [GO:0032760]; response to lipopolysaccharide [GO:0032496]; toll-like receptor 4 signaling pathway [GO:0034142]
LSHR	LHCGR	endosome [GO:0005768]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; choriogonadotropin hormone binding [GO:0038106]; choriogonadotropin hormone receptor activity [GO:0035472]; G protein-coupled peptide receptor activity [GO:0008528]; luteinizing hormone receptor activity [GO:0004964]; activation of adenylate cyclase activity [GO:0007190]; adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; cellular response to gonadotropin stimulus [GO:0071371]; cellular response to luteinizing hormone stimulus [GO:0071373]; cognition [GO:0050890]; G protein-coupled receptor signaling pathway [GO:0007186]; G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger [GO:0007187]; hormone-mediated signaling pathway [GO:0009755]; luteinizing hormone signaling pathway [GO:0042700]; male genitalia development [GO:0030539]; male gonad development [GO:0008584]; ovarian follicle development [GO:0001541]; ovulation cycle process [GO:0022602]; phospholipase C-activating G protein-coupled receptor signaling pathway [GO:0007200]; positive regulation of inositol trisphosphate biosynthetic process [GO:0032962]
CP3A5	CYP3A5	endoplasmic reticulum membrane [GO:0005789]; intracellular membrane-bounded organelle [GO:0043231]; aromatase activity [GO:0070330]; estrogen 16-alpha-hydroxylase activity [GO:0101020]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity [GO:0016491]; oxygen binding [GO:0019825]; retinoic acid 4-hydroxylase activity [GO:0008401]; steroid hydroxylase activity [GO:0008395]; testosterone 6-beta-hydroxylase activity [GO:0050649]; aflatoxin metabolic process [GO:0046222]; alkaloid catabolic process [GO:0009822]; estrogen metabolic process [GO:0008210]; lipid hydroxylation [GO:0002933]; oxidative demethylation [GO:0070989]; retinoic acid metabolic process [GO:0042573]; retinol metabolic process [GO:0042572]; steroid metabolic process [GO:0008202]; xenobiotic catabolic process [GO:0042178]; xenobiotic metabolic process [GO:0006805]
CP1A2	CYP1A2	endoplasmic reticulum membrane [GO:0005789]; intracellular membrane-bounded organelle [GO:0043231]; aromatase activity [GO:0070330]; caffeine oxidase activity [GO:0034875]; demethylase activity [GO:0032451]; electron transfer activity [GO:0009055]; enzyme binding [GO:0019899]; estrogen 16-alpha-hydroxylase activity [GO:0101020]; estrogen 2-hydroxylase activity [GO:0101021]; heme binding [GO:0020037]; hydroperoxy icosatetraenoate dehydratase activity [GO:0106256]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity [GO:0016491]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen [GO:0016712]; aflatoxin metabolic process [GO:0046222]; alkaloid metabolic process [GO:0009820]; cellular respiration [GO:0045333]; cellular response to cadmium ion [GO:0071276]; cholesterol metabolic process [GO:0008203]; dibenzo-p-dioxin metabolic process [GO:0018894]; epoxygenase P450 pathway [GO:0019373]; estrogen metabolic process [GO:0008210]; heterocycle metabolic process [GO:0046483]; hydrogen peroxide biosynthetic process [GO:0050665]; long-chain fatty acid biosynthetic process [GO:0042759]; lung development [GO:0030324]; methylation [GO:0032259]; monocarboxylic acid metabolic process [GO:0032787]; monoterpenoid metabolic process [GO:0016098]; omega-hydroxylase P450 pathway [GO:0097267]; oxidative demethylation [GO:0070989]; porphyrin-containing compound metabolic process [GO:0006778]; post-embryonic development [GO:0009791]; regulation of gene expression [GO:0010468]; retinol metabolic process [GO:0042572]; steroid catabolic process [GO:0006706]; toxin biosynthetic process [GO:0009403]; xenobiotic catabolic process [GO:0042178]; xenobiotic metabolic process [GO:0006805]
NOMO1	NOMO1	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; carbohydrate binding [GO:0030246]; ribosome binding [GO:0043022]
THAS	TBXAS1	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; 12-hydroxyheptadecatrienoic acid synthase activity [GO:0036134]; heme binding [GO:0020037]; hydroperoxy icosatetraenoate dehydratase activity [GO:0106256]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]; thromboxane-A synthase activity [GO:0004796]; cellular chloride ion homeostasis [GO:0030644]; cyclooxygenase pathway [GO:0019371]; icosanoid metabolic process [GO:0006690]; positive regulation of vasoconstriction [GO:0045907]; prostaglandin biosynthetic process [GO:0001516]; response to ethanol [GO:0045471]; response to fatty acid [GO:0070542]
DHI1	HSD11B1	endoplasmic reticulum membrane [GO:0005789]; integral component of endoplasmic reticulum membrane [GO:0030176]; membrane [GO:0016020]; 11-beta-hydroxysteroid dehydrogenase (NADP+) activity [GO:0070524]; cortisol dehydrogenase activity [GO:0102196]; NADP binding [GO:0050661]; protein homodimerization activity [GO:0042803]; steroid binding [GO:0005496]; lung development [GO:0030324]; steroid catabolic process [GO:0006706]
RIC3	RIC3	endoplasmic reticulum membrane [GO:0005789]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; synapse [GO:0045202]; acetylcholine receptor binding [GO:0033130]; protein folding chaperone [GO:0044183]; cellular protein-containing complex assembly [GO:0034622]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of protein localization to cell surface [GO:2000010]; protein localization to cell surface [GO:0034394]; synaptic transmission, cholinergic [GO:0007271]
NMDE3	GRIN2C	endoplasmic reticulum membrane [GO:0005789]; glutamatergic synapse [GO:0098978]; integral component of plasma membrane [GO:0005887]; NMDA selective glutamate receptor complex [GO:0017146]; plasma membrane [GO:0005886]; postsynaptic density membrane [GO:0098839]; glutamate-gated calcium ion channel activity [GO:0022849]; ligand-gated ion channel activity [GO:0015276]; NMDA glutamate receptor activity [GO:0004972]; signaling receptor activity [GO:0038023]; transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential [GO:1904315]; brain development [GO:0007420]; calcium ion transmembrane import into cytosol [GO:0097553]; directional locomotion [GO:0033058]; excitatory chemical synaptic transmission [GO:0098976]; excitatory postsynaptic potential [GO:0060079]; glutamate receptor signaling pathway [GO:0007215]; long-term synaptic potentiation [GO:0060291]; negative regulation of protein catabolic process [GO:0042177]; neuromuscular process controlling balance [GO:0050885]; protein localization to postsynaptic membrane [GO:1903539]; regulation of synaptic plasticity [GO:0048167]; response to wounding [GO:0009611]
